Image,Shape
my_images/image_1.png,triangle
my_images/image_2.png,square
my_images/image_3.png,circle
my_images/image_4.png,square
my_images/image_5.png,square
my_images/image_6.png,circle
my_images/image_7.png,triangle
my_images/image_8.png,triangle
my_images/image_9.png,triangle
my_images/image_10.png,square
my_images/image_11.png,triangle
my_images/image_12.png,circle
my_images/image_13.png,circle
my_images/image_14.png,circle
my_images/image_15.png,triangle
my_images/image_16.png,star
my_images/image_17.png,triangle
my_images/image_18.png,triangle
my_images/image_19.png,square
my_images/image_20.png,circle
my_images/image_21.png,square
my_images/image_22.png,star
my_images/image_23.png,triangle
my_images/image_24.png,square
my_images/image_25.png,star
my_images/image_26.png,circle
my_images/image_27.png,triangle
my_images/image_28.png,triangle
my_images/image_29.png,star
my_images/image_30.png,square
my_images/image_31.png,star
my_images/image_32.png,circle
my_images/image_33.png,circle
my_images/image_34.png,circle
my_images/image_35.png,circle
my_images/image_36.png,circle
my_images/image_37.png,triangle
my_images/image_38.png,star
my_images/image_39.png,square
my_images/image_40.png,square
my_images/image_41.png,circle
my_images/image_42.png,circle
my_images/image_43.png,star
my_images/image_44.png,star
my_images/image_45.png,star
my_images/image_46.png,square
my_images/image_47.png,square
my_images/image_48.png,star
my_images/image_49.png,square
my_images/image_50.png,square
my_images/image_51.png,star
my_images/image_52.png,triangle
my_images/image_53.png,triangle
my_images/image_54.png,circle
my_images/image_55.png,circle
my_images/image_56.png,circle
my_images/image_57.png,circle
my_images/image_58.png,star
my_images/image_59.png,star
my_images/image_60.png,star
my_images/image_61.png,square
my_images/image_62.png,square
my_images/image_63.png,circle
my_images/image_64.png,star
my_images/image_65.png,star
my_images/image_66.png,circle
my_images/image_67.png,star
my_images/image_68.png,square
my_images/image_69.png,triangle
my_images/image_70.png,circle
my_images/image_71.png,square
my_images/image_72.png,circle
my_images/image_73.png,star
my_images/image_74.png,circle
my_images/image_75.png,square
my_images/image_76.png,star
my_images/image_77.png,circle
my_images/image_78.png,triangle
my_images/image_79.png,circle
my_images/image_80.png,square
my_images/image_81.png,square
my_images/image_82.png,triangle
my_images/image_83.png,circle
my_images/image_84.png,circle
my_images/image_85.png,star
my_images/image_86.png,square
my_images/image_87.png,circle
my_images/image_88.png,square
my_images/image_89.png,square
my_images/image_90.png,triangle
my_images/image_91.png,triangle
my_images/image_92.png,star
my_images/image_93.png,circle
my_images/image_94.png,circle
my_images/image_95.png,square
my_images/image_96.png,star
my_images/image_97.png,star
my_images/image_98.png,triangle
my_images/image_99.png,square
my_images/image_100.png,triangle
my_images/image_101.png,triangle
my_images/image_102.png,star
my_images/image_103.png,triangle
my_images/image_104.png,square
my_images/image_105.png,triangle
my_images/image_106.png,triangle
my_images/image_107.png,triangle
my_images/image_108.png,square
my_images/image_109.png,triangle
my_images/image_110.png,star
my_images/image_111.png,circle
my_images/image_112.png,star
my_images/image_113.png,star
my_images/image_114.png,triangle
my_images/image_115.png,star
my_images/image_116.png,star
my_images/image_117.png,circle
my_images/image_118.png,triangle
my_images/image_119.png,circle
my_images/image_120.png,square
my_images/image_121.png,star
my_images/image_122.png,triangle
my_images/image_123.png,star
my_images/image_124.png,triangle
my_images/image_125.png,circle
my_images/image_126.png,circle
my_images/image_127.png,star
my_images/image_128.png,square
my_images/image_129.png,star
my_images/image_130.png,square
my_images/image_131.png,square
my_images/image_132.png,star
my_images/image_133.png,square
my_images/image_134.png,circle
my_images/image_135.png,square
my_images/image_136.png,star
my_images/image_137.png,square
my_images/image_138.png,square
my_images/image_139.png,triangle
my_images/image_140.png,triangle
my_images/image_141.png,triangle
my_images/image_142.png,triangle
my_images/image_143.png,square
my_images/image_144.png,circle
my_images/image_145.png,triangle
my_images/image_146.png,circle
my_images/image_147.png,triangle
my_images/image_148.png,square
my_images/image_149.png,square
my_images/image_150.png,square
